frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
220, 0, 7.300, 0.98, 1, 28.0, -33.3, 472.4, 0.000, 0.057, 0.041
221, 0, 7.333, 0.98, 1, 28.1, -33.3, 473.6, -0.005, 0.062, 0.042
222, 0, 7.367, 0.98, 1, 28.1, -33.1, 473.4, 0.002, 0.063, 0.039
223, 0, 7.400, 0.98, 1, 28.4, -33.3, 476.3, 0.011, 0.065, 0.041
224, 0, 7.433, 0.98, 1, 28.7, -33.3, 476.6, 0.008, 0.067, 0.045
225, 0, 7.467, 0.98, 1, 29.1, -33.5, 478.9, 0.016, 0.066, 0.052
226, 0, 7.500, 0.98, 1, 29.4, -33.4, 481.7, 0.014, 0.071, 0.060
227, 0, 7.533, 0.98, 1, 29.6, -33.3, 480.5, 0.018, 0.069, 0.062
228, 0, 7.567, 0.98, 1, 29.6, -33.0, 478.0, 0.022, 0.067, 0.060
229, 0, 7.600, 0.98, 1, 29.7, -32.9, 478.1, 0.017, 0.062, 0.058
230, 0, 7.633, 0.98, 1, 29.9, -32.8, 477.2, 0.020, 0.057, 0.055
231, 0, 7.667, 0.98, 1, 29.9, -32.9, 478.5, 0.020, 0.056, 0.054
232, 0, 7.700, 0.98, 1, 29.9, -32.8, 478.7, 0.020, 0.056, 0.053
233, 0, 7.733, 0.98, 1, 29.9, -32.8, 478.6, 0.019, 0.056, 0.053
234, 0, 7.767, 0.98, 1, 29.9, -32.8, 479.1, 0.018, 0.058, 0.052
235, 0, 7.800, 0.98, 1, 29.9, -32.8, 479.6, 0.018, 0.058, 0.052
236, 0, 7.833, 0.98, 1, 29.6, -32.7, 476.8, 0.017, 0.055, 0.049
237, 0, 7.867, 0.98, 1, 29.5, -32.7, 476.7, 0.018, 0.056, 0.048
238, 0, 7.900, 0.98, 1, 29.5, -32.7, 477.7, 0.019, 0.055, 0.046
239, 0, 7.933, 0.98, 1, 29.4, -32.6, 477.0, 0.020, 0.054, 0.046
240, 0, 7.967, 0.98, 1, 29.4, -32.6, 477.2, 0.019, 0.054, 0.045
241, 0, 8.000, 0.98, 1, 29.1, -32.6, 477.8, 0.016, 0.060, 0.046
242, 0, 8.033, 0.98, 1, 29.2, -32.6, 478.5, 0.016, 0.059, 0.047
243, 0, 8.067, 0.98, 1, 29.1, -32.6, 479.0, 0.018, 0.059, 0.045
244, 0, 8.100, 0.98, 1, 28.9, -32.7, 479.8, 0.019, 0.062, 0.045
245, 0, 8.133, 0.98, 1, 28.8, -32.7, 481.2, 0.016, 0.059, 0.043
246, 0, 8.167, 0.98, 1, 28.3, -32.5, 481.0, 0.022, 0.063, 0.046
247, 0, 8.200, 0.98, 1, 28.1, -32.4, 479.6, 0.021, 0.063, 0.044
248, 0, 8.233, 0.98, 1, 28.1, -32.5, 479.8, 0.019, 0.059, 0.045
249, 0, 8.267, 0.98, 1, 28.1, -32.4, 479.6, 0.017, 0.057, 0.044
250, 0, 8.300, 0.98, 1, 28.0, -32.3, 478.7, 0.016, 0.054, 0.043
251, 0, 8.333, 0.98, 1, 28.0, -32.3, 478.9, 0.015, 0.053, 0.043
252, 0, 8.367, 0.98, 1, 27.9, -32.3, 479.1, 0.020, 0.058, 0.043
253, 0, 8.400, 0.98, 1, 27.7, -32.4, 480.2, 0.018, 0.061, 0.042
254, 0, 8.433, 0.98, 1, 27.6, -32.3, 481.3, 0.024, 0.067, 0.044
255, 0, 8.467, 0.98, 1, 27.4, -32.3, 481.9, 0.026, 0.065, 0.043
256, 0, 8.500, 0.98, 1, 27.2, -32.1, 480.4, 0.026, 0.062, 0.041
257, 0, 8.533, 0.98, 1, 27.2, -32.3, 481.2, 0.024, 0.061, 0.041
258, 0, 8.567, 0.98, 1, 27.0, -32.3, 481.3, 0.027, 0.059, 0.040
259, 0, 8.600, 0.98, 1, 26.9, -32.5, 482.6, 0.027, 0.058, 0.041
260, 0, 8.633, 0.98, 1, 26.9, -32.6, 482.9, 0.025, 0.059, 0.040
261, 0, 8.667, 0.98, 1, 26.7, -32.7, 482.8, 0.024, 0.057, 0.040
262, 0, 8.700, 0.98, 1, 26.6, -32.6, 482.4, 0.026, 0.053, 0.040
